id,function_name,stage_id,num_tasks,submission_time,completion_time,executor_run_time,result_size,jvm_gc_time,peak_execution_memory,disk_bytes_spilled,memory_bytes_spilled
1,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629792856555,1629792923151,61993,2178,42289,0,0,0
2,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629792923194,1629792927482,5906,576630,680,0,0,0
3,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629792929014,1629793022121,88341,2178,38561,0,0,0
4,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793022162,1629793026702,5868,576372,488,0,0,0
5,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793051828,1629793118174,61777,2178,42073,0,0,0
6,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793118211,1629793122468,5929,576458,412,0,0,0
7,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793138282,1629793200826,57968,2177,38735,0,0,0
8,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793200865,1629793204880,5499,576372,30,0,0,0
9,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793214732,1629793273243,53999,2178,34738,0,0,0
10,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793273280,1629793277383,5627,576415,444,0,0,0
11,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793293625,1629793357135,58868,2177,39440,0,0,0
12,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793357170,1629793361576,6159,576501,744,0,0,0
13,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793381683,1629793445102,58850,2177,39415,0,0,0
14,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793445138,1629793449185,5224,576415,425,0,0,0
15,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793455787,1629793520687,60292,2221,40689,0,0,0
16,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793520724,1629793524935,5550,576329,380,0,0,0
17,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793546430,1629793609287,58219,2178,39093,0,0,0
18,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793609330,1629793613446,5738,576458,730,0,0,0
19,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793627284,1629793721674,89454,2178,40291,0,0,0
20,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793721708,1629793725647,5126,576372,27,0,0,0
21,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793742310,1629793803498,56602,2178,36484,0,0,0
22,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793803541,1629793807746,5695,576501,65,0,0,0
23,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793820654,1629793880949,55738,2178,36820,0,0,0
24,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629793880987,1629793884906,5240,576458,54,0,0,0
25,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629793905629,1629794007438,96761,2178,47043,0,0,0
26,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629794007472,1629794011934,5671,576329,380,0,0,0
27,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629794022414,1629794081518,54464,2178,35250,0,0,0
28,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629794081557,1629794085601,5619,576458,68,0,0,0
29,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629794096289,1629794155296,54377,2177,35219,0,0,0
30,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629794155343,1629794159257,5076,576415,476,0,0,0
31,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629794180052,1629794243672,58985,2177,39538,0,0,0
32,sumNetProfitGroupedBySoldDateWhereProfitNegative,1,200,1629794243710,1629794247808,5648,576415,30,0,0,0
33,sumNetProfitGroupedBySoldDateWhereProfitNegative,0,1,1629794257716,1629794317233,54961,2178,35538,0,0,0
